dataset,split,cp_r2,cp_rmse
A2a,RND_00,0.6913639668563716,0.7545175127215785
A2a,RND_01,0.5448741124210185,0.9080065226727068
A2a,RND_02,0.5015671487959106,0.9243110221079217
A2a,RND_03,0.5972757136997726,0.7679488586992201
A2a,RND_04,-0.06659520036859257,0.9222140895376235
A2a,RND_05,0.6723524630842381,0.6233109805626051
A2a,RND_06,0.5231047973655053,0.8997980191879956
A2a,RND_07,0.4299701496778391,0.858991905322627
A2a,RND_08,0.40218031134716015,0.8016215198789501
A2a,RND_09,0.22253799858931356,0.9176353570655487
A2a,SCAF_00,-0.11224853968624471,1.1083848208723288
A2a,SCAF_01,0.3957275699501097,0.6782509267636231
A2a,SCAF_02,-0.008850477881816365,1.6778037598463067
A2a,SCAF_03,-0.24676302760960023,1.1125572878365828
A2a,SCAF_04,0.46478968961415557,1.2724389955710993
A2a,SCAF_05,-0.07870467349179644,0.9268860336645331
A2a,SCAF_06,0.05592932012469187,1.0948706224599192
A2a,SCAF_07,-0.22622345571504554,1.9375864147289192
A2a,SCAF_08,0.12825521309088928,1.0620445531265574
A2a,SCAF_09,0.21885833768796237,0.9201087401532418
ABL1,RND_00,0.29021326719099794,0.966895153702609
ABL1,RND_01,0.45228226019259854,0.768931071338522
ABL1,RND_02,0.45856930206077706,0.8709838776054988
ABL1,RND_03,0.2939950280963196,0.9225368381833163
ABL1,RND_04,0.41697313307797146,0.8098502617578882
ABL1,RND_05,0.2656970498451118,0.9323213577827879
ABL1,RND_06,0.42730040809126424,0.8815427252360581
ABL1,RND_07,0.30396602082646496,0.9071060920736522
ABL1,RND_08,0.39063819001614386,0.8515487118638687
ABL1,RND_09,0.44075153846959736,0.824234113119016
ABL1,SCAF_00,-0.15887906448870348,1.060065107330715
ABL1,SCAF_01,0.22220886464724476,0.9507623194936026
ABL1,SCAF_02,0.3583258215492632,0.7990144873522076
ABL1,SCAF_03,0.2648571948632632,0.9072357667619962
ABL1,SCAF_04,0.323518059591444,1.043285142042338
ABL1,SCAF_05,0.08926428151889099,1.2114497098097718
ABL1,SCAF_06,-0.013008639065522187,1.1063379814973389
ABL1,SCAF_07,0.06821514412626328,1.1838490558588015
ABL1,SCAF_08,0.24359370032325534,1.0635559284757334
ABL1,SCAF_09,0.3759173789572421,0.9476847277283396
Acetylcholinesterase,RND_00,0.7066920867719912,0.6929118917446934
Acetylcholinesterase,RND_01,0.6787465627118695,0.7223554703672262
Acetylcholinesterase,RND_02,0.7121448034739082,0.672968194127844
Acetylcholinesterase,RND_03,0.6336779425806565,0.7711982532374329
Acetylcholinesterase,RND_04,0.6493793358887949,0.7482912715586243
Acetylcholinesterase,RND_05,0.6596031133123401,0.7360359552138283
Acetylcholinesterase,RND_06,0.6573539239206803,0.7186494929842997
