dataset,split,gp_r2,xgb_r2,ffnn_r2,gp_rmse,xgb_rmse,ffnn_rmse
Glucocorticoid,SCAF_03,0.5261141502096113,0.49800333794585316,0.5941748311145223,0.7324500251824404,0.7538614622156419,0.6778141280927302
Glucocorticoid,SCAF_04,0.5053929525096575,0.36501754587368707,0.4533808725826275,0.7056790785289839,0.7995726942954232,0.7418558131577335
Glucocorticoid,SCAF_05,0.5671999667307891,0.5191491690914245,0.5954847911185999,0.7268044227292607,0.7660887840457082,0.7026537138424388
Glucocorticoid,SCAF_06,0.48185440109212263,0.23926761731648283,0.3499557042019876,0.6444572529115349,0.7808797499735074,0.721837906398717
Glucocorticoid,SCAF_07,0.4950718084102965,0.28677965209464906,0.4473983036838248,0.6633230580669696,0.7883555821346353,0.6939311634847289
Glucocorticoid,SCAF_08,0.5540568456278026,0.5223364141056746,0.522514026155393,0.7004473337472472,0.7249312191663884,0.7247964292275955
Glucocorticoid,SCAF_09,0.5202066392153312,0.359833650252426,0.40103409094371356,0.6620002820079137,0.7646760327566946,0.7396599600979978
Glycogen,RND_00,0.6160803433176125,0.5697392921987174,0.5736551365720101,0.7135288749463071,0.7553656336286491,0.7519204490770243
Glycogen,RND_01,0.5895501520871156,0.5727820010597604,0.5037338875082223,0.7131255378743171,0.7275464241628944,0.7841393529955304
Glycogen,RND_02,0.6429830389431008,0.6110385342650458,0.5871345957124783,0.6775762730762027,0.7072403889386634,0.7286483936451512
Glycogen,RND_03,0.6099731264775121,0.5486907529910479,0.5434430388474802,0.7192807119207978,0.7737279128529343,0.7782132718518711
Glycogen,RND_04,0.6157881323234771,0.5451400893621445,0.5807912227214547,0.6917771479717263,0.7526960807291925,0.7225967558384423
Glycogen,RND_05,0.6457699210081904,0.5723549899580355,0.5920274128392169,0.6668417610374459,0.7326925508702872,0.7156415753384163
Glycogen,RND_06,0.6646006624377869,0.6416153883420876,0.6094112083394465,0.6759035070627158,0.6986799434638857,0.7293961857669508
Glycogen,RND_07,0.6488947570202119,0.5996004674578197,0.5964667393681982,0.6714586895629993,0.7170466680217943,0.719847183043511
Glycogen,RND_08,0.61397572033024,0.5233398984599964,0.610606502174242,0.7098439542347604,0.7887874238512489,0.712934981670168
Glycogen,RND_09,0.5574976264079337,0.5285645631607601,0.49475088716070237,0.7306293002087526,0.7541372527507226,0.7807141703782574
Glycogen,SCAF_00,0.4512535318527816,0.2965655492960938,0.3512043113597092,0.8762348896777646,0.9920795324587758,0.9527712645416266
Glycogen,SCAF_01,0.34015143211622,0.23678037725295842,0.24871524914577892,0.9494799897054518,1.0211474121388309,1.0131318396416669
