dataset,cycle,r2,rmse
HERG,0,0.6241300253578098,0.5515775248371716
HERG,1,0.6821532960960914,0.5142709180276005
HERG,2,0.6442815856355109,0.540947354939747
HERG,3,0.62216099245284,0.5354190008090642
HERG,4,0.6363126271586848,0.5358837507439126
HERG,5,0.6363946478105313,0.5327920182941206
HERG,6,0.638206054845454,0.5338445493730436
HERG,7,0.6003355399771575,0.5450609559806092
HERG,8,0.6393398793862521,0.5202051452040167
HERG,9,0.6390690612397476,0.5593146688443318
