dataset,cycle,r2,rmse
Dihydrofolate,0,0.05788969777828845,1.1826568113250027
Dihydrofolate,1,0.20516730198086242,1.0513952137586706
Dihydrofolate,2,0.20325615666415475,0.7832143212797794
Dihydrofolate,3,0.36663791275036395,0.7960969806575541
Dihydrofolate,4,-0.009694619885826317,1.1071934444877576
Dihydrofolate,5,0.14718515849614355,0.9686059883873626
Dihydrofolate,6,0.14885800819509298,0.9533859087597713
Dihydrofolate,7,0.18829803703280346,0.9548026227812454
Dihydrofolate,8,0.2745074540904424,0.9444630532805551
Dihydrofolate,9,0.04001208803268286,1.1258281731708144
