dataset,cycle,r2,rmse
Acetylcholinesterase,0,0.4248292265453901,0.9232825378368005
Acetylcholinesterase,1,0.492508877814434,0.9362540511437553
Acetylcholinesterase,2,0.33870601731499905,1.0294075824012672
Acetylcholinesterase,3,0.4087114501172324,0.9438956544985669
Acetylcholinesterase,4,0.5157666970755581,0.8844128617832779
Acetylcholinesterase,5,0.4288812952055344,1.0057565239202233
Acetylcholinesterase,6,0.46253338866860194,0.9042561018933123
Acetylcholinesterase,7,0.4805301053170866,0.8904938114884285
Acetylcholinesterase,8,0.5374058141236336,0.8098383224568524
Acetylcholinesterase,9,0.4829216897694696,0.9288408856318132
